order_u,order_v,error_init,error,success,u_coeffs_init,v_coeffs_init,u_coeffs,v_coeffs
1,1,0.027558726702918465,0.018015669346052348,True,"[0.9989456329577316, 0.9995774717238936]","[-1.2703189971144435, 2.0555554688205557]","[0.9989456329577316, 0.9995774717238936]","[-1.2703189971144435, 2.0555554688205557]"
2,2,0.0033737720988229,0.002139629390116409,True,"[0.3800072225200598, 1.418862313141348, 1.039113884229327]","[0.4083109952470234, -2.0818280575360886, 2.08195934692717]","[0.3800072225200598, 1.418862313141348, 1.039113884229327]","[0.4083109952470234, -2.0818280575360886, 2.08195934692717]"
3,3,0.0008732980901936193,0.000377790087201403,True,"[0.07852391995847074, 0.8227278400210453, 1.86113493625506, 1.1170671295135284]","[-0.08073237506106526, 1.0047270165096358, -2.90924167384662, 2.233236741988793]","[0.07852391995847074, 0.8227278400210453, 1.86113493625506, 1.1170671295135284]","[-0.08073237506106526, 1.0047270165096358, -2.90924167384662, 2.233236741988793]"
